name,weight,HR,handedness,height,avg,BMI,height_degree
Denny Lemaster,182,4,R,73,0.13,24.009,Medium
Joe Nolan,175,27,L,71,0.263,24.405,Medium
Denny Doyle,175,16,L,69,0.25,25.84,Medium
Jose Cardenal,150,138,R,70,0.275,21.52,Medium
Mike Ryan,205,28,R,74,0.193,26.318,Medium
Fritz Peterson,185,2,B,72,0.159,25.088,Medium
Dick Bertell,200,10,R,72,0.25,27.122,Medium
Rod Kanehl,180,6,R,73,0.241,23.746,Medium
Juan Bonilla,170,7,R,69,0.256,25.102,Medium
Frank Tepedino,185,6,L,71,0.241,25.799,Medium
Rick Wise,180,15,R,73,0.195,23.746,Medium
Darrell Evans,200,414,L,74,0.248,25.676,Medium
Buck Martinez,190,58,R,70,0.225,27.259,Medium
John Wockenfuss,190,86,R,72,0.262,25.766,Medium
Tommy McCraw,183,75,L,72,0.246,24.817,Medium
Lee Lacy,175,91,R,73,0.286,23.086,Medium
Pete Rose,192,160,B,71,0.303,26.776,Medium
Danny Walton,195,28,R,72,0.223,26.444,Medium
Bobby Cox,180,9,R,71,0.225,25.102,Medium
Brad Wellman,170,6,R,72,0.231,23.054,Medium
Jeff Newman,215,63,R,74,0.224,27.601,Medium
Pedro Gonzalez,176,8,R,72,0.244,23.867,Medium
Tommie Reynolds,190,12,R,74,0.226,24.392,Medium
Gene Clines,170,5,R,69,0.277,25.102,Medium
Jim Hickman,192,159,R,75,0.252,23.996,Medium
Jack Billingham,195,0,R,76,0.111,23.734,Medium
Jerry Buchek,185,22,R,71,0.22,25.799,Medium
Ivan DeJesus,175,21,R,71,0.254,24.405,Medium
Gary Nolan,197,1,R,74,0.138,25.291,Medium
Fred Whitfield,190,108,L,73,0.253,25.065,Medium
Larry Dierker,215,4,R,76,0.136,26.168,Medium
Dave Skaggs,200,3,R,74,0.241,25.676,Medium
Dick Ruthven,190,1,R,75,0.183,23.746,Medium
Dave Kingman,210,442,R,78,0.236,24.265,Tall
Eric Soderholm,187,102,R,71,0.264,26.078,Medium
Ed Brinkman,170,60,R,72,0.224,23.054,Medium
Wayne Garrett,175,61,L,71,0.239,24.405,Medium
Tony Muser,180,7,L,74,0.259,23.108,Medium
Ted Ford,180,17,R,70,0.219,25.824,Medium
Jim Lyttle,180,9,L,72,0.248,24.41,Medium
Scot Thompson,195,5,L,75,0.262,24.371,Medium
Gene Locklear,165,9,L,70,0.274,23.672,Medium
Bo Diaz,185,87,R,71,0.255,25.799,Medium
Bump Wills,172,36,B,69,0.266,25.397,Medium
Pat Putnam,205,63,L,72,0.255,27.8,Medium
Kurt Bevacqua,180,27,R,72,0.236,24.41,Medium
Syd O'Brien,185,24,R,73,0.23,24.405,Medium
Chris Chambliss,195,185,L,73,0.279,25.724,Medium
Tom Satriano,185,21,L,73,0.225,24.405,Medium
Jeffrey Leonard,200,144,R,74,0.266,25.676,Medium
